Packet ID,Hops,End-to-end Delay
77,1,0.014000000000000012
1152,1,0.014000000000000012
741,1,0.014000000000000012
2483,1,0.014000000000000234
44,2,0.04807800000000001
1429,2,0.08104299999999975
95,1,0.014000000000000012
821,2,0.030315999999999788
415,2,0.03031600000000001
2157,2,0.0810430000000002
551,1,0.014000000000000012
1062,2,0.030316999999999927
2509,1,0.014000000000000234
1162,2,0.07947700000000024
1283,1,0.014000000000000234
929,3,0.0831780000000002
886,2,0.03031700000000015
1933,1,0.01399999999999979
1607,2,0.03031600000000001
1465,2,0.030316999999999705
2122,2,0.03031700000000015
677,2,0.08104299999999998
2151,2,0.08104299999999975
58,2,0.03031600000000001
2322,2,0.03031700000000015
288,3,0.079658
289,2,0.077843
549,2,0.08104299999999998
576,2,0.07947700000000002
1443,2,0.0810430000000002
1420,1,0.01399999999999979
1964,2,0.07940999999999976
199,1,0.014000000000000012
661,2,0.08104299999999998
332,2,0.07941000000000009
1117,1,0.014000000000000012
1044,1,0.014000000000000012
1814,2,0.03031700000000015
1574,3,0.08189800000000025
1608,3,0.08157799999999993
1688,2,0.030316999999999705
2329,1,0.01399999999999979
2266,2,0.07947700000000024
1145,2,0.0810430000000002
1947,2,0.0810430000000002
2348,2,0.03031700000000015
2385,2,0.03031600000000001
302,2,0.07784399999999991
2013,2,0.03031600000000001
1148,2,0.08104400000000012
2051,1,0.01399999999999979
341,2,0.03031600000000001
240,2,0.07505000000000006
46,3,0.046082999999999985
2160,3,0.08164199999999999
2215,2,0.08104299999999975
453,1,0.014000000000000012
1625,1,0.01399999999999979
189,1,0.014000000000000012
943,2,0.03031600000000001
2353,1,0.01399999999999979
2055,1,0.01399999999999979
2159,2,0.03031600000000001
34,3,0.04119999999999999
2011,1,0.01399999999999979
553,3,0.08336999999999994
797,3,0.082986
1635,1,0.01399999999999979
1358,2,0.0810439999999999
1957,1,0.01399999999999979
2358,1,0.01399999999999979
603,2,0.08104299999999998
2173,1,0.014000000000000234
2403,3,0.051434000000000424
392,3,0.08202600000000004
666,2,0.03031700000000015
468,1,0.014000000000000012
1471,3,0.08285800000000032
215,1,0.014000000000000012
1736,2,0.030316999999999705
1739,2,0.03031600000000001
93,3,0.041200000000000014
1941,2,0.0810430000000002
503,2,0.03031600000000001
1528,1,0.014000000000000234
2153,1,0.014000000000000234
1585,2,0.0810430000000002
1154,3,0.08202600000000038
2103,2,0.08104299999999975
1717,2,0.0810430000000002
219,1,0.014000000000000012
726,2,0.03031700000000015
2025,2,0.0810430000000002
426,3,0.08170599999999995
1132,1,0.014000000000000012
1908,2,0.03031700000000015
1898,2,0.03031700000000015
1412,2,0.07940999999999976
1078,2,0.030316999999999927
2031,1,0.01399999999999979
2168,1,0.014000000000000234
1800,2,0.030316999999999705
772,2,0.0794100000000002
1128,2,0.08104400000000012
1482,2,0.03031700000000015
1746,2,0.030316999999999705
394,2,0.03031700000000004
2217,1,0.01399999999999979
1605,2,0.0810430000000002
2042,2,0.0794100000000002
2134,2,0.07947700000000024
951,1,0.014000000000000012
2069,2,0.0810430000000002
127,1,0.013999999999999957
2203,2,0.03031600000000001
1448,2,0.03031700000000015
1157,1,0.014000000000000234
2187,1,0.014000000000000234
2071,2,0.03031600000000001
1101,2,0.08104299999999998
2517,1,0.014000000000000234
577,2,0.03031600000000001
671,2,0.08104299999999998
373,2,0.08104299999999998
864,2,0.07947700000000002
1973,2,0.03031700000000015
1194,2,0.030316999999999705
2335,2,0.03031600000000001
1865,1,0.014000000000000234
1459,1,0.014000000000000234
2458,3,0.0411999999999999
1878,2,0.03031700000000015
1368,2,0.0794100000000002
447,2,0.08104299999999998
1903,2,0.0810430000000002
1994,3,0.08176999999999968
2325,2,0.03031600000000001
1988,2,0.0810439999999999
1784,3,0.08183400000000018
2364,2,0.0810439999999999
305,1,0.014000000000000012
628,2,0.03031700000000015
113,1,0.014000000000000012
1869,2,0.08104299999999975
631,3,0.08311400000000013
2099,1,0.014000000000000234
2498,3,0.0411999999999999
2525,1,0.014000000000000234
572,2,0.07940999999999998
2423,1,0.013999999999999346
178,1,0.014000000000000012
2472,3,0.0411999999999999
